TCP SRC PORT,TCP DST PORT,HDR_LEN,SEQ,WINDOW_SIZE,LABEL
47686,21,40,0,29200,FTP
33438,21,40,0,29200,FTP
33414,21,40,0,29200,FTP
33438,21,40,0,29200,FTP
51188,21,40,0,29200,FTP
33438,21,40,0,29200,FTP
51188,21,40,0,29200,FTP
38450,21,40,0,29200,FTP
47686,21,40,0,29200,FTP
38450,21,40,0,29200,FTP
51188,21,40,0,29200,FTP
38450,21,40,0,29200,FTP
51192,21,40,0,29200,FTP
33438,21,40,0,29200,FTP
51192,21,40,0,29200,FTP
51188,21,40,0,29200,FTP
38454,21,40,0,29200,FTP
51192,21,40,0,29200,FTP
38450,21,40,0,29200,FTP
38454,21,40,0,29200,FTP
47718,21,40,0,29200,FTP
38454,21,40,0,29200,FTP
47718,21,40,0,29200,FTP
51192,21,40,0,29200,FTP
47718,21,40,0,29200,FTP
38454,21,40,0,29200,FTP
33450,21,40,0,29200,FTP
38450,21,40,0,29200,FTP
47718,21,40,0,29200,FTP
33450,21,40,0,29200,FTP
33450,21,40,0,29200,FTP
51192,21,40,0,29200,FTP
38454,21,40,0,29200,FTP
33450,21,40,0,29200,FTP
47718,21,40,0,29200,FTP
38460,21,40,0,29200,FTP
38460,21,40,0,29200,FTP
38460,21,40,0,29200,FTP
38450,21,40,0,29200,FTP
38460,21,40,0,29200,FTP
51192,21,40,0,29200,FTP
38454,21,40,0,29200,FTP
33454,21,40,0,29200,FTP
47718,21,40,0,29200,FTP
38460,21,40,0,29200,FTP
33454,21,40,0,29200,FTP
33454,21,40,0,29200,FTP
33454,21,40,0,29200,FTP
38464,21,40,0,29200,FTP
38464,21,40,0,29200,FTP
38464,21,40,0,29200,FTP
38460,21,40,0,29200,FTP
38464,21,40,0,29200,FTP
38464,21,40,0,29200,FTP
38450,21,40,0,29200,FTP
51192,21,40,0,29200,FTP
33458,21,40,0,29200,FTP
33458,21,40,0,29200,FTP
51208,21,40,0,29200,FTP
33458,21,40,0,29200,FTP
38454,21,40,0,29200,FTP
51208,21,40,0,29200,FTP
47718,21,40,0,29200,FTP
51208,21,40,0,29200,FTP
33462,21,40,0,29200,FTP
33458,21,40,0,29200,FTP
33462,21,40,0,29200,FTP
51208,21,40,0,29200,FTP
33462,21,40,0,29200,FTP
38472,21,40,0,29200,FTP
38472,21,40,0,29200,FTP
47736,21,40,0,29200,FTP
38472,21,40,0,29200,FTP
38464,21,40,0,29200,FTP
47736,21,40,0,29200,FTP
33462,21,40,0,29200,FTP
47736,21,40,0,29200,FTP
38476,21,40,0,29200,FTP
38472,21,40,0,29200,FTP
38476,21,40,0,29200,FTP
47736,21,40,0,29200,FTP
38476,21,40,0,29200,FTP
38460,21,40,0,29200,FTP
38476,21,40,0,29200,FTP
38472,21,40,0,29200,FTP
47736,21,40,0,29200,FTP
38476,21,40,0,29200,FTP
38472,21,40,0,29200,FTP
47736,21,40,0,29200,FTP
38464,21,40,0,29200,FTP
38476,21,40,0,29200,FTP
