TCP SRC PORT,TCP DST PORT,HDR_LEN,SEQ,WINDOW_SIZE,LABEL
35388,443,20,1,31088,FTP
443,35388,20,1,65535,FTP
443,35388,20,1,65535,FTP
35388,443,20,47,31088,FTP
36466,80,40,0,29200,FTP
80,36466,24,0,65535,FTP
36466,80,20,1,29200,FTP
36466,80,20,1,29200,FTP
80,36466,20,1,65535,FTP
80,36466,20,1,65535,FTP
443,34384,20,1,65535,HTTP
443,34384,20,194,65535,HTTP
34384,443,20,1,63900,HTTP
443,34384,20,232,65535,HTTP
443,35506,20,1,65535,HTTP
443,35506,20,149,65535,HTTP
443,35506,20,187,65535,HTTP
34384,443,20,1,63900,HTTP
35506,443,20,1,65535,HTTP
443,34384,20,278,65535,HTTP
35506,443,20,1,65535,HTTP
443,35506,20,233,65535,HTTP
34384,443,20,47,63900,HTTP
443,34384,20,278,65535,HTTP
443,34384,20,278,65535,HTTP
443,34384,20,476,65535,HTTP
34384,443,20,204,65320,HTTP
443,34384,20,514,65535,HTTP
34384,443,20,204,65320,HTTP
443,34384,20,560,65535,HTTP
56864,443,20,1,42600,HTTP
443,56864,20,1,65535,HTTP
443,56864,20,1,65535,HTTP
443,56864,20,217,65535,HTTP
56864,443,20,156,45440,HTTP
443,56864,20,255,65535,HTTP
56864,443,20,156,45440,HTTP
443,56864,20,301,65535,HTTP
34384,443,20,250,65320,HTTP
443,34384,20,560,65535,HTTP
443,34384,20,560,65535,HTTP
443,34384,20,777,65535,HTTP
443,34384,20,815,65535,HTTP
34384,443,20,446,65320,HTTP
34384,443,20,446,65320,HTTP
443,34384,20,861,65535,HTTP
34384,443,20,492,65320,HTTP
443,34384,20,861,65535,HTTP
443,34384,20,861,65535,HTTP
443,34384,20,1083,65535,HTTP
443,34384,20,1121,65535,HTTP
34384,443,20,672,65320,HTTP
34384,443,20,672,65320,HTTP
443,34384,20,1167,65535,HTTP
56864,443,20,202,45440,HTTP
443,56864,20,301,65535,HTTP
443,56864,20,301,65535,HTTP
443,56864,20,415,65535,HTTP
56864,443,20,379,45440,HTTP
56864,443,20,379,45440,HTTP
443,56864,20,461,65535,HTTP
35506,443,20,47,65535,HTTP
443,35506,20,233,65535,HTTP
443,35506,20,233,65535,HTTP
443,35506,20,522,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,1952,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,4812,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,12982,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,15538,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,16968,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,19828,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,22688,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,24118,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,26978,65535,HTTP
443,35506,20,29838,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,31268,65535,HTTP
443,35506,20,32279,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,37999,65535,HTTP
443,35506,20,45149,65535,HTTP
443,35506,20,48009,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,49020,65535,HTTP
35506,443,20,137,65535,HTTP
